State,District,"(Counties, if a District)",Population/Census 2014,Percent Pop AA,Percent Pop Hispanic,Obama Share by Vote (2012),Title,Name,First Year in office,Last Election Year,Percent Vote Last Election,Party Affiliation,Race,Gender,status of reelection,Republican candidates,Rep Race,Rep Gender ,Democratic candidates,Dem Race,Dem Gender,NP Candidate,NP Race,NP Gender,Category,Next Election,Past election result,,Special notes
MO,Pettis,,42225,3.4,8.3,34.4,Prosecuting Attorney,Phillip Sawyer,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.kmzu.com/august-5th-2014-primary-election-results/,,
MO,Phelps,,44847,2.4,2.5,31.9,Prosecuting Attorney,Brendon Fox,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.leaderjournal.com/article/20140805/News/140809464,,
MO,Pike,,18541,7.6,2.2,35.3,Prosecuting Attorney,Mark Fisher,2007,2014,U,D,C,M,,,,,,,,,,,,2018,http://www.pikecountymo.net/uploads/Sample_Ballot_Nov_4_2014.pdf,,
MO,Platte,,94788,6.4,5.7,42.1,Prosecuting Attorney,Eric Zahnd,,2014,U,R,C,M,,,,,,,,,,,,2018,http://static1.squarespace.com/static/561e88cee4b06543191f1ad2/t/562e500ae4b0fe5cd753667a/1445875722790/11042014.pdf,,
MO,Polk,,31054,1,2.1,27.3,Prosecuting Attorney,Ken Ashlock,2011,2014,U,R,C,M,,,,,,,,,,,,2018,http://bolivarmonews.com/election/election-results-rohrs-elected-judge-hancock-elected-presiding-commissioner/article_92e5d87a-1ce6-11e4-a84e-0019bb2963f4.html,,
MO,Pulaski,,53436,12.8,10.7,30.9,Prosecuting Attorney,Kevin Hillman,2011,2014,81.8,R,C,M,,,,,,,,,,,,2018,page won't load but results in summary,,
MO,Putnam,,4829,0.3,1.4,25.4,Prosecuting Attorney,Tom Keedy,,2014,U,R,C,M,,,,,,,,,,,,2018,http://ktvo.com/news/local/2014-missouri-primary-election-results?id=1074588,,
MO,Ralls,,10255,1.2,1.2,34.5,Prosecuting Attorney,Rodney Rodenbaugh,,2014,U,D,C,M,,,,,,,,,,,,2018,http://www.vandalialeader.com/wp-content/uploads/2014/08/Ralls-County-Election-Results.pdf,,
MO,Randolph,,25072,5.9,1.9,41.2,Prosecuting Attorney,Mike Fusselman,,2014,55.5,R,C,M,,,,,,,,,,,,2018,http://www.randolphcounty-mo.com/wp-content/uploads/2011/11/20141107130827863.pdf,,
MO,Ray,,22949,1.4,2.3,30.5,Prosecuting Attorney,Camille Johnston,2015,2014,60,R,C,F,,,,,,,,,,,,2018,http://www.richmond-dailynews.com/2014/11/nov-4-election-results/,,
MO,Reynolds,,6565,0.9,1.5,36.1,Prosecuting Attorney,Benjamin Thompson,,2014,U,D,C,M,,,,,,,,,,,,2018,http://www.waynecojournalbanner.com/news/article_3bf2951e-1d16-11e4-afc3-001a4bcf6878.html,,
MO,Ripley,,13969,0.7,1.2,26.5,Prosecuting Attorney,Christopher Miller,,,,D,C,M,,,,,,,,,,,,2018,,,
MO,Saline,,23347,5.2,9.8,41.6,Prosecuting Attorney,Don Stouffer,1999,2014,U,D,C,M,,,,,,,,,,,,2018,http://www.marshallnews.com/story/2152062.html,,
MO,Schuyler,,4370,0.2,1.1,35.9,Prosecuting Attorney,Lindsay Gravett,,2014,U,D,C,F,,,,,,,,,,,,2018,https://github.com/BusProject/Ballot/blob/master/lib/states/MO.csv,,
MO,Scotland,,4863,0.1,0.9,33.2,Prosecuting Attorney,Kimberly Nicoli,,2014,68.6,D,C,F,,,,,,,,,,,,2018,http://www.memphisdemocrat.com/nicoli-ebeling-win-local-races-scr-i-bond-issue-fails/,,
MO,Scott,,38903,11.7,2.2,30.1,Prosecuting Attorney,Paul R. Boyd,,2014,U,D,C,M,,,,,,,,,,,,2018,http://www.semissourian.com/files/aug-2014-scott-county-sample-ballot.pdf,,
MO,Shannon,,8329,0.4,1.8,35.3,Prosecuting Attorney,Jodie Brumble,,2014,U,D,C,F,,,,,,,,,,,,2018,http://www.westplainsdailyquill.net/news/local/collection_edd34b2c-1d91-11e4-8bae-001a4bcf6878.html,,
MO,Shelby,,6108,0.7,1.6,29.9,Prosecuting Attorney,Jordan Force,2011,2014,U,D,C,F,,,,,,,,,,,,2018,http://www.shelbinaweekly.com/sw_archives_articles.asp,,
MO,St. Charles,,379493,4.7,3.1,38.7,Prosecuting Attorney,Timothy Lohmar,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.sccmo.org/ArchiveCenter/ViewFile/Item/2401,,
MO,St. Clair,,9457,0.7,2.3,31.6,Prosecuting Attorney,Josh Jones,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.stclaircomo.com/node/57,,
MO,St. Francois,,65960,4.5,1.4,39.1,Prosecuting Attorney,Jerrod Mahurin,appt 2012,2014,U,D,C,M,,,,,,,,,,,,2018,http://dailyjournalonline.com/news/local/govt-and-politics/election-is-tuesday/article_8e67d131-33a7-5b88-bf7e-a11bac00f2b5.html,,Sent two siblings to jail for 15 years for growing 20 marijuana plants in their condo http://www.huffingtonpost.com/2014/04/15/siblings-pot-missouri-prison-time-driving-drunk-killing-someone_n_5052094.html
MO,St. Genevieve,,,,,47.2,Prosecuting Attorney,Carl D. Kinsky,2011,2014,U,D,C,M,,,,,,,,,,,,2018,http://www.suntimesnews.com/stegen/special/Elections/stegenaugustprimary2014election.htm,,
MO,St. Louis,,1001876,23.9,2.7,56.2,Prosecuting Attorney,Bob Mccullough,1991,2014,U,D,C,M,,,,,,,,,,,,2018,http://www.newsweek.com/2014/09/12/ferguson-prosecutor-robert-p-mccullochs-long-history-siding-police-267357.html,,Ferguson prosecutor in Michael Brown case http://www.msnbc.com/msnbc/prosecutor-admits-witnesses-likely-lied-under-oath-michael-brown-case
MO,St. Louis City,,317419,47.5,3.8,82.5,Circuit Attorney,Jennifer Joyce,,2012,U,D,C,F,not running,,,,Mary Pat Carl,C,F,,,,T,2016,http://www.stlelections.com/?results=november-6th-2012-general-election,,"http://www.stltoday.com/news/local/crime-and-courts/st-louis-circuit-attorney-fires-prosecutor-running-to-replace-her/article_237b7adc-4af1-5f58-88a8-dcad31556a18.html) plus Steve Harmon (AA) son of former mayor, has launched a primary challenge. See http://www.stltoday.com/news/local/govt-and-politics/nick-pistor/steven-harmon-former-st-louis-mayor-and-police-chief-s/article_662d4589-6311-58ec-ae64-30ac6bd77503.html"
MO,Stoddard,,29867,1.2,1.7,24.5,Prosecuting Attorney,Russell Oliver,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.dailystatesman.com/story/2064102.html,,
MO,Stone,,31104,0.5,2,24.5,Prosecuting Attorney,Matt Selby,2003,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.bransontrilakesnews.com/news_free/article_6075e222-b6a7-11e3-bcfa-001a4bcf887a.html,,
MO,Sullivan,,6411,1.7,17.6,35,Prosecuting Attorney,Brian Keedy,appt 2015,,,R,C,M,,,,,,,,,,,,2018,https://governor.mo.gov/news/archive/gov-nixon-appoints-three-experienced-prosecutors-fill-prosecuting-attorney-vacancies,,
MO,Taney,,54230,1.4,5.5,25.3,Prosecuting Attorney,Jeff Merrell,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.bransontrilakesnews.com/news_free/article_6075e222-b6a7-11e3-bcfa-001a4bcf887a.html,,
MO,Texas,,25642,3.7,2.2,26.7,Prosecuting Attorney,"Parke Stevens, Jr.",2015,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.ksgf.com/articles/276400751.html,,
MO,Vernon,,21001,0.8,2,30.3,Prosecuting Attorney,Brandi McInroy,,2014,80,R,C,F,,,,,,,,,,,,2018,http://www.nevadadailymail.com/story/2134917.html,,
MO,Warren,,33253,2.4,3.2,35.6,Prosecuting Attorney,Kelly King,2015,2014,U,R,C,F,,,,,,,,,,,,2018,http://www.warrencountyrecord.com/local_news/article_f748623c-1f08-11e4-a01e-0019bb2963f4.html,,
MO,Washington,,25077,2.4,1.3,39.3,Prosecuting Attorney,Josh Hedgecorth,,2014,U,D,C,M,,,,,,,,,,,,2018,http://www.theijnews.com/news/article_72d1e0f0-fe33-11e3-b9e3-001a4bcf6878.html,,
MO,Wayne,,13452,0.7,1.4,31.7,Prosecuting Attorney,Michael L. Jackson,,2014,U,D,C,M,,,,,,,,,,,,2018,http://www.waynecojournalbanner.com/news/article_3bf2951e-1d16-11e4-afc3-001a4bcf6878.html,,
MO,Webster,,36888,1.1,1.9,28.6,Prosecuting Attorney,Benjamin Berkstresser,,2014,50.3,R,C,M,,,,,,,,,,,,2018,http://marshfieldmail.com/news/local-candidates-selected-by-voters/article_60628174-2267-11e4-aaff-001a4bcf887a.html,,
MO,Worth,,2073,0.8,1.3,32.5,Prosecuting Attorney,David A. Baird,appt 2011 and 2015,,,D,C,M,,,,,,,,,,,,2018,https://governor.mo.gov/news/archive/gov-nixon-appoints-three-experienced-prosecutors-fill-prosecuting-attorney-vacancies,,
MO,Wright,,18291,0.7,1.7,24.6,Prosecuting Attorney,Jason MacPherson,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.news-journal.net/news/article_97b40cf0-b459-11e3-946f-001a4bcf6878.html,,
MS,District 1,"Alcorn, Itawamba, Lee, Monroe, Pontotoc, Prentiss, and Tishomingo",257954,19.7,2.64,30.08,District Attorney,John Weddle,,2015,55.1,R,C,M,,,,,,,,,,,,2019,http://www.sos.ms.gov/Elections-Voting/Pages/2015-General-Election.aspx,,
MS,District 10,"Clarke, Kemper, Lauderdale, Wayne",126691,42.62,1.83,43.06,District Attorney,"Ellis ""Bilbo"" Mitchell",,2015,U,D,C,M,,,,,,,,,,,,2019,http://www.sos.ms.gov/Elections-Voting/Pages/2015-General-Election.aspx,,
MS,District 11,"Bolivar, Coahoma, Quitman, Tunica",76851,69.94,1.88,71.91,District Attorney,Brenda Mitchell,,2015,U,D,AA,F,,,,,,,,,,,,2019,http://www.sos.ms.gov/Elections-Voting/Pages/2015-General-Election.aspx,,
MS,District 12,"Forrest, Perry",88557,34.68,2.94,41.16,District Attorney,Patricia Burchell,,2015,U,D,C,F,,,,,,,,,,,,2019,http://www.sos.ms.gov/Elections-Voting/Pages/2015-General-Election.aspx,,
MS,District 13,"Covington, Jasper, Simpson, Smith",79694,36.77,1.62,40.18,District Attorney,Matt Sullivan,,2015,57.6,D,C,M,,,,,,,,,,,,2019,http://www.sos.ms.gov/Elections-Voting/Pages/2015-General-Election.aspx,,
MS,District 14,"Lincoln, Pike, Walthall",89692,42.72,1.31,44.2,District Attorney,"Deweitt ""Dee"" Bates, Jr. ",,2015,U,D,C,M,,,,,,,,,,,,2019,http://www.sos.ms.gov/Elections-Voting/Pages/2015-General-Election.aspx,,
MS,District 15,"Jefferson Davis, Lamar,Lawrence,Marion, Pearl River",165515,23.46,2.36,28.58,District Attorney,Hal Kitrell,,2015,U,R,C,M,,,,,,,,,,,,2019,http://www.sos.ms.gov/Elections-Voting/Pages/2015-General-Election.aspx,,
MS,District 16,"Clay, Lowndes, Noxubee, Oktibbeha",140484,45.9,1.35,54.48,District Attorney,Scott Colom,2016,2015,53.8,D,AA,M,,,,,,,,,,,,2019,http://www.sos.ms.gov/Elections-Voting/Pages/2015-General-Election.aspx,,
MS,District 17,"Desoto, Panola, Tallahatchie, Tate, Yalobusha",260598,31.3,4.15,39.48,District Attorney,John Champion,,2015,U,D,C,M,,,,,,,,,,,,2019,http://www.sos.ms.gov/Elections-Voting/Pages/2015-General-Election.aspx,,
MS,District 18,Jones,68290,29.3,4.3,30.5,District Attorney,Anthony Buckley,,2015,U,R,C,M,,,,,,,,,,,,2019,http://www.sos.ms.gov/Elections-Voting/Pages/2015-General-Election.aspx,,
MS,District 19,"George, Greene, Jackson",178766,20.68,4.71,28.75,District Attorney,Anthony Lawrence III,,2015,U,R,C,M,,,,,,,,,,,,2019,http://www.sos.ms.gov/Elections-Voting/Pages/2015-General-Election.aspx,,
MS,District 2,"Hancock, Harrison, Stone",262882,20.99,4.83,33.63,District Attorney,Joel Smith,,2015,U,R,C,M,,,,,,,,,,,,2019,http://www.sos.ms.gov/Elections-Voting/Pages/2015-General-Election.aspx,,
MS,District 20,"Madison, Rankin",249758,27.57,2.68,31.42,District Attorney,Michael Guest,,2015,U,R,C,M,,,,,,,,,,,,2019,http://www.sos.ms.gov/Elections-Voting/Pages/2015-General-Election.aspx,,
MS,District 21,"Holmes, Humphreys, Yazoo",55017,68.52,3.53,70.12,District Attorney,Akillie Malone Oliver ,2011,2015,U,D,AA,F,,,,,,,,,,,,2019,http://www.sos.ms.gov/Elections-Voting/Pages/2015-General-Election.aspx,,
MS,District 22,"Claiborne, Copiah, Jefferson",45476,63.56,2.1,68.8,District Attorney,Alexander Martin,,2015,U,D,AA,M,,,,,,,,,,,,2019,http://www.sos.ms.gov/Elections-Voting/Pages/2015-General-Election.aspx,,
MS,District 3,"Benton,Calhoun,Chickasaw,Lafayette,Marshall,Tippah,Union",179654,29.19,3.6,41.88,District Attorney,Benjamin Creekmore,,2015,U,D,C,M,,,,,,,,,,,,2019,http://www.sos.ms.gov/Elections-Voting/Pages/2015-General-Election.aspx,,
MS,District 4,"Leflore, Sunflower, Washington",107876,72.19,1.7,71.59,District Attorney,W. Dewayne Richardson,,2015,U,D,AA,M,,,,,,,,,,,,2019,http://www.sos.ms.gov/Elections-Voting/Pages/2015-General-Election.aspx,,
MS,District 5,"Attala,Carroll,Choctaw,Grenada,Montgomery,Webster,Winston",98227,39.17,1.39,41.11,District Attorney,Doug Evans,,2015,U,D,C,M,,,,,,,,,,,,2019,http://www.sos.ms.gov/Elections-Voting/Pages/2015-General-Election.aspx,,
MS,District 6,"Adams, Amite, Franklin, Wilkinson",61390,51.06,4.55,53.69,District Attorney,Ronnie Harper,,2015,U,D,C,M,,,,,,,,,,,,2019,http://www.sos.ms.gov/Elections-Voting/Pages/2015-General-Election.aspx,,
MS,District 7,Hinds,243729,70.8,1.6,71.5,District Attorney,Robert Shuler Smith,,2015,U,D,AA,M,,,,,,,,,,,,2019,http://www.sos.ms.gov/Elections-Voting/Pages/2015-General-Election.aspx,,
MS,District 8,"Leake, Neshoba, Newton, Scott",102951,32.47,4.84,37.84,District Attorney,Tyler McCaughn,,2015,U,R,C,M,,,,,,,,,,,,2019,http://www.sos.ms.gov/Elections-Voting/Pages/2015-General-Election.aspx,,
MS,District 9,"Issaquena, Sharkey, Warren",54027,50.45,1.95,52.78,District Attorney,"Richard ""ricky"" Smith, Jr. ",,2015,U,D,C,M,,,,,,,,,,,,2019,http://www.sos.ms.gov/Elections-Voting/Pages/2015-General-Election.aspx,,
MT,Beaverhead,,9345,0.4,3.7,28.5,County Attorney,Jed Fitch,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://www.co.yellowstone.mt.gov/elections/results/Archives/General_Nov2014.htm,,
MT,Big Horn,,13282,0.4,5.6,62.3,County Attorney,"Jerald ""Jay"" Harris",,2014,57.7,NP,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=02&name=Big%20Horn,,
MT,Blaine,,6619,0.2,2.3,56.5,County Attorney,Kelsie Harwood,,2014,U,D,C,F,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=03&name=Blaine,,
MT,Broadwater,,5667,0.5,2.5,25.4,County Attorney,Cory Swanson,,2014,78.6,NP,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=03&name=Blaine,,
MT,Carbon,,10399,0.5,2.3,36.7,County Attorney,Alex Nixon,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=03&name=Blaine,,
MT,Carter,,1169,0.1,1.2,12.1,County Attorney,Darcy Wassmann,,,,R,C,F,EMAIL SENT 2/10,,,,,,,,,,,2018,,,
MT,Cascade,,82344,1.7,4.1,44.1,County Attorney,John Parker,,2014,U,D,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=07&name=Cascade,,
MT,Chouteau,,5894,0.2,2.2,34.7,County Attorney,Stephen Gannon,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=08&name=Chouteau,,
MT,Custer,,12092,0.6,3,34.2,County Attorney,Wyatt Glade,,2014,61.6,NP,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=09&name=Custer,,
MT,Daniels,,1793,0.3,2,23.5,County Attorney,Ken Hoversland,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=10&name=Daniels,,
MT,Dawson,,9518,0.5,2.7,27.6,County Attorney,Oliva Norlin-Rieger,,2014,U,R,C,F,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=11&name=Dawson,,
MT,Deer Lodge,,9150,0.4,3.1,64.1,County Attorney,Ben Krakowka,,2014,61.3,NP,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?eid=4&type=CTYALL&map=CTY&cty=12&name=Deer%20Lodge,,
MT,Fallon,,3108,0.2,1.7,16.9,County Attorney,Darcy Wassmann,,2014,U,R,C,F,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=13&name=Fallon,,
MT,Fergus,,11442,0.5,2.4,27,County Attorney,Thomas Meissner,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=14&name=Fergus,,
MT,Flathead,,94924,0.4,2.7,32,County Attorney,Ed Corrigan,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=15&name=Flathead,,
MT,Gallatin,,97308,0.4,3.1,45.8,County Attorney,Marty Lambert,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=16&name=Gallatin,,
MT,Garfield,,1309,0.3,1.2,9.4,County Attorney,Gary Ryder,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=17&name=Garfield,,
MT,Glacier,,13696,0.2,2.7,65.7,County Attorney,Carolyn Berkram,,2014,U,D,C,F,,,,,,,,,,,,2018,http://www.co.yellowstone.mt.gov/elections/results/Archives/General_Nov2014.htm,,
MT,Golden Valley,,852,0.7,4.1,23,County Attorney,Kent Sipe,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=19&name=Golden%20Valley,,
MT,Granite,,3209,0.4,2.1,31.3,County Attorney,Blaine Bradshaw,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=20&name=Granite,,
MT,Hill,,16596,0.6,3.3,49.9,County Attorney,Gina Dahl,,2014,U,D,C,F,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=21&name=Hill,,
MT,Jefferson,,11558,0.4,2.3,34.8,County Attorney,Matthew Johnson,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=22&name=Jefferson,,
MT,Judith Basin,,1991,0.1,1.7,27.7,County Attorney,Heather Perry,,2014,60.6,R,C,F,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=23&name=Judith%20Basin,,
MT,Lake,,29099,0.4,4.1,43.6,County Attorney,Steven Eschenbacher,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=24&name=Lake,,
MT,Lewis & Clark,,65856,0.5,3,46.9,County Attorney,Leo Gallagher,,2014,U,D,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=25&name=Lewis%20%26%20Clark,,
MT,Liberty ,,2359,0.3,0.7,25.8,County Attorney,Hugh Brown,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=26&name=Liberty,,
MT,Lincoln,,19125,0.4,2.8,28.7,County Attorney,Bernard Cassidy,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=27&name=Lincoln,,
MT,Madison,,7820,0.5,2.9,28.4,County Attorney,Chris Christensen,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=28&name=Madison,,
MT,McCone,,1694,0.6,1,22.5,County Attorney,John Hrubes,,2014,75.2,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=29&name=McCone,,
MT,Meagher,,1853,0.3,1.8,27.7,County Attorney,Kimberly Deschene,,2014,U,R,C,F,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=30&name=Meagher,,
MT,Mineral,,4257,0.5,2.8,34.6,County Attorney,Marcia Boris,,2014,U,R,C,F,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=31&name=Mineral,,
MT,Missoula,,112684,0.6,3.1,57.4,County Attorney,Kirsten Pabst,,2014,U,D,C,F,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=32&name=Missoula,,
MT,Musselshell,,4589,0.6,3.4,20.4,County Attorney,Kent Sipe,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=33&name=Musselshell,,
MT,Park,,15880,0.3,2.8,43.1,County Attorney,Bruce Becker,,2014,50.9,NP,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=34&name=Park,,
MT,Petroleum,,485,0,1.2,16.4,County Attorney,Monte Boettger,,,appt,NP,C,M,EMAIL SENT 2/10,,,,,,,,,,,2018,,,
MT,Phillips,,4192,0.1,2.1,21.1,County Attorney,Ed Amestoy,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=36&name=Phillips,,
MT,Pondera,,6219,0.3,1.8,35.9,County Attorney,Mary Ann Ries,,2014,U,R,C,F,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=37&name=Pondera,,
MT,Powder River,,1783,0.1,2,16.6,County Attorney,Jeffrey Noble,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=38&name=Powder%20River,,
MT,Powell,,6909,1.1,2.3,32,County Attorney,Lewis K. Smith,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=39&name=Powell,,
MT,Prairie,,1148,0.3,2.1,23.8,County Attorney,Daniel Rice,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=40&name=Prairie,,
MT,Ravalli,,41030,0.5,3.3,32.8,County Attorney,Bill Fulbright,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=41&name=Ravalli,,
MT,Richland,,11576,0.5,4.8,21.6,County Attorney,Mike Weber,,2014,U,D,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=42&name=Richland,,
MT,Roosevelt,,11332,0.3,2.5,56.8,County Attorney,Ralph Patch,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=43&name=Roosevelt,,
MT,Rosebud,,9326,0.3,4.1,40.4,County Attorney,C. Christine White,,2014,U,R,C,F,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=44&name=Rosebud,,
MT,Sanders,,11364,0.3,2.5,29.1,County Attorney,Bob Zimmerman,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=45&name=Sanders,,
MT,Sheridan,,3696,0.4,2.2,34.5,County Attorney,Benjamin Fosbud,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=46&name=Sheridan,,
MT,Silver Bow,,34680,0.5,4.2,64.8,County Attorney,Eileen Joyce,,2014,U,NP,C,F,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?eid=4&type=CTYALL&map=CTY&cty=47&name=Silver%20Bow,,
MT,Stillwater,,9290,0.3,3.3,26.5,County Attorney,Nancy Rhode,,2014,U,R,C,F,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=48&name=Stillwater,,
MT,Sweet Grass,,3665,0.1,2,22.4,County Attorney,Pat Dringman,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=49&name=Sweet%20Grass,,
MT,Teton,,6064,0.1,1.4,33,County Attorney,Joe Coble,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=50&name=Teton,,
MT,Toole,,5150,0.8,3,27.7,County Attorney,Merle Raph,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=51&name=Toole,,
MT,Treasure,,692,0.1,2.7,25.1,County Attorney,Hannah Schantz,,2014,U,R,C,F,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=52&name=Treasure,,
MT,Valley,,7640,0.4,2.2,35.9,County Attorney,Nick Murnion,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=53&name=Valley,,
MT,Wheatland,,2102,0.4,1.7,27.4,County Attorney,Linda Hickman,,2014,U,R,C,F,,,,,D,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=54&name=Wheatland,,
MT,Wibaux,,1121,0.1,2.5,18,County Attorney,Ronald Efta,,2014,U,D,C,M,,,,,,,,,,,,2018,http://electionresults.sos.mt.gov/resultsSW.aspx?type=CTYALL&map=CTY&cty=55&name=Wibaux,,
MT,Yellowstone,,155634,0.8,5.2,38.4,County Attorney,Scott Twito,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.co.yellowstone.mt.gov/elections/results/Archives/General_Nov2014.htm,,
